Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium 4.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	12:58:28	13:03:31	13:08:31	13:13:31	13:18:31	13:23:31	13:28:31	13:33:31	13:38:32	13:43:31	13:48:31	13:53:31	13:58:31	14:03:31	14:08:32	14:13:32	14:18:32	14:23:32	14:28:32	14:33:32	14:38:32	14:43:32	14:48:32
Diameter Midpoint
101.8	1422.7	1130.99	1516.61	1231.79	1077.34	1031.32	1192.11	1321.05	1267.94	536.236	440.507	227.784	325.503	222.164	60.1605	101.197	145.747	111.583	165.95	183.878	187.725	14.4008	151.04
105.5	1380.22	1391.11	1541.63	1337.95	1271.38	1417.53	1774.78	1968.08	1186.71	669.94	585.402	240.775	186.876	120.907	218.435	216.082	114.534	156.567	92.4911	142.804	149.472	102.171	157.737
109.4	1740.27	1821.48	1663.55	1490.73	1576.97	1905.47	1303.82	2068.34	1407	870.126	464.99	532.194	313.971	177.398	234.919	227.654	151.019	218.139	151.019	143.755	220.473	83.8996	254.033
113.4	1541.89	1723.5	1386.4	1950.53	1480.2	1453.77	1582.9	1754.53	1177.03	847.732	458.36	331.781	265.058	274.62	250.75	250.75	66.8665	202.721	176.585	117.016	116.873	117.016	233.889
117.6	1860.76	1571.67	1732.72	1574.32	1374.83	1813.13	1308.51	1989.35	1281.19	719.602	551.16	421.72	328.392	232.11	165.793	116.055	205.644	163.689	156.451	82.8964	189.61	106.168	279.199
121.9	1695.99	1418.08	1952.19	1569.01	1662.95	1677.99	1321.9	1734.71	1405.04	813.218	501.781	433.988	450.74	165.215	165.215	132.172	143.5	132.172	99.1291	198.258	132.172	158.546	209.586
126.3	1696.87	1626.66	1542.43	1624.76	1646.06	1375.32	1327.32	1950.09	1323.96	938.437	484.739	242.58	490.067	131.73	181.128	65.8648	123.954	152.053	141.891	164.662	148.196	141.891	179.657
131.0	1520.12	1504.58	1494.71	1479.1	1620	1563.07	1669.51	1850.58	1199.54	711.786	481.205	361.09	231.959	245.667	278.759	131.306	137.59	176.7	186.829	180.545	164.132	170.416	164.132
135.8	1518.6	1666.39	1293.95	1556.9	1371.34	1542.18	1698.32	1756.03	1231.29	824.485	396.806	313.936	278.426	232.653	85.1268	196.349	202.449	81.8121	179.987	130.899	98.1745	32.7248	147.262
140.7	1748.71	1723.2	1502.34	1405.7	1473.73	1397.31	1280.69	2078.24	1278.94	729.568	585.12	308.341	265.866	177.227	226.395	233.087	125.004	114.725	131.114	163.893	180.282	216.698	98.3356
145.9	1358.32	1506	1242.63	1306.1	1241.19	1458.27	1449.54	1841.38	1330.57	789.924	512.252	331.249	164.861	131.347	82.0919	144.121	198.461	180.602	180.602	180.602	114.929	132.025	164.184
